dataset_id,dataset_name,source_type,source_ref,access_status,spatial_extent,temporal_extent,geometry_type,crs,license,lineage,quality_status,synthetic_status,used_by,claim_boundary
uwm_livability_intervention_package_admin_livability_spatial_graph,UWM evidence-gated livability intervention package from learned world-model rollouts,synthetic,data/uwm_public_proxy/chongqing_central/model_based_rl_graph_search_2026_07_05/uwm_livability_intervention_package_admin_livability_spatial_graph.json,available,Chongqing central bbox intersecting township and street candidate units,2026-07-05,livability_intervention_package_json,EPSG:4326,internal_UWM_synthesis_from_spatial_Graph_MDP_and_TAP_like_PM25_scaffold,business-theory aligned package generated from spatial Graph-MDP learned rollout synthetic policy outcome scaffold and TAP-like PM25 v2;contains low-livability unit identification mechanism explanations intervention suitability multi-step plan before-after indicator deltas equity conclusion and evidence boundary;supported proxy claim business_theory_aligned_learned_rollout_beats_static_proxy_baseline;not observed intervention data,business_theory_aligned_intervention_package_not_observed_policy_outcome,synthetic,livability_intervention_package;planner_output;model_based_rl;offline_world_model;policy_outcome_scaffold;synthetic_holdout_scaffold;uwm_livability;evidence_gate,exploratory_only
uwm_data_foundation_evidence_gate_2026_07_05,UWM data-foundation evidence gate using prepared real proxy fitted and synthetic artifacts,planning_sample,data/uwm_public_proxy/chongqing_central/data_foundation_evidence_gate_2026_07_05/uwm_data_foundation_evidence_gate.json,available,UWM Chongqing prepared data foundation,2026-07-05,evidence_gate_report_json,mixed,manifest_terms_plus_source_asset_terms,evidence gate over 62 prepared data-foundation rows and actual artifacts;uses OpenAQ observed temporal holdout 600 observations and 180 holdout points with 150 wins over static train mean plus local planning inventory admin graph learned rollout and livability intervention package;observed state prediction superiority true but observed policy outcome superiority false,observed_state_prediction_bounded_policy_outcome_blocked,public_proxy,data_foundation;evidence_gate;state_dynamics_validation;model_based_rl;uwm_livability;claim_boundary,bounded_support
chap_pm25_monthly_1km_2024_07_proxy,CHAP ChinaHighPM2.5 monthly 1km PM2.5 proxy for UWM 2024-07 scene,public,data/uwm_public_proxy/chongqing_central/chap_pm25_2024_07/snapshot_manifest.json;source_doi=https://doi.org/10.5281/zenodo.10472665,available,Chongqing central livability candidate admin representative points plus China source grid,2024-07,admin_representative_point_nearest_grid_cell_panel;netcdf_grid,EPSG:4326,CC_BY_4_0,downloaded CHAP PM25 M1K 202407 V4 NetCDF from Zenodo record 15208529 on 2026-07-05;sampled 36 of 36 candidate admin units;valid PM25 36;mean 16.433 ugm3;AI fused gridded product not station observation,ai_fused_gridded_product_not_station_observation,public_proxy,air_pollution_exposure;uwm_air;admin_environment_context;planner_targeting;state_dynamics_validation,bounded_support
noaa_isd_chongqing_weather_observation_2024_07,NOAA ISD observed weather for Chongqing Jiangbei station 2024-07 scene,public,data/uwm_public_proxy/chongqing_central/noaa_isd_weather_2024_07_01_07/snapshot_manifest.json;source=https://www.ncei.noaa.gov/pub/data/noaa/2024/575160-99999-2024.gz,available,Chongqing Jiangbei station 575160-99999 and mixed FM-12 FM-15 reports,2024-07-01_to_2024-07-07,station_timeseries_json;raw_isd_gzip,EPSG:4326,NOAA_public_domain,downloaded NOAA ISD 575160-99999-2024.gz and isd-history.csv on 2026-07-05;station metadata JIANGBEI ZUCK;parsed 224 scene-window records with 224 temperature 56 pressure and 224 wind observations,observed_station_weather_holdout_ready,public_proxy,meteorology;observed_weather_holdout;simulator_context;mmfe_alignment;state_dynamics_validation,bounded_support
tap_pm25_china_access_pending,TAP Tracking Air Pollution in China PM2.5 account access pending,restricted_expected,http://tapdata.org.cn/,registration_pending_user_account_under_review,China including Chongqing if account approved,expected 2024 and historical depending on TAP access,gridded_or_station_product_pending,unknown,TAP_terms_pending,user has applied for TAP account on 2026-07-05 and approval is expected to take about 2 days;no TAP data downloaded yet;must not be treated as available evidence,access_pending_not_downloaded,restricted_expected,air_pollution_exposure;tap_candidate;acquisition_queue,not_for_claim
semi_synthetic_air_quality_scene_2024_07,UWM semi-synthetic scene-aligned PM2.5 panel for stress tests,synthetic,data/uwm_public_proxy/chongqing_central/semi_synthetic_air_quality_scene_2024_07_01_07/uwm_semi_synthetic_air_quality_scene.json,available,Chongqing central livability candidate admin units,2024-07-01_to_2024-07-07,admin_hourly_pm25_panel_json,EPSG:4326,CAMS_GEE_terms_plus_OpenAQ_terms_plus_internal_synthesis,generated 6048 admin-hour PM25 records from 36 GEE CAMS zonal admin bases and OpenAQ 2018 observed PM25 hourly anomaly pattern because OpenAQ 2024 scene attempt returned 0 measurements;not observed holdout,semi_synthetic_scene_air_quality_not_observed_holdout,semi_synthetic,air_pollution_exposure;synthetic_holdout_scaffold;simulator_stress;state_dynamics_validation;uwm_air,exploratory_only
tap_like_pm25_scene_v2_2024_07,UWM TAP-like CHAP-anchored semi-synthetic PM2.5 scene v2,synthetic,data/uwm_public_proxy/chongqing_central/tap_like_pm25_scene_v2_2024_07_01_07/snapshot_manifest.json;scene=data/uwm_public_proxy/chongqing_central/tap_like_pm25_scene_v2_2024_07_01_07/uwm_tap_like_pm25_scene_v2.json,available,Chongqing central livability candidate admin units,2024-07-01_to_2024-07-07,admin_hourly_pm25_panel_json,EPSG:4326,CHAP_CC_BY_4_0_plus_OpenMeteo_terms_plus_OpenAQ_terms_plus_NOAA_public_domain_plus_GEE_terms_plus_internal_synthesis,generated 6048 admin-hour PM25 records from 36 CHAP-anchored admin monthly PM25 values plus Open-Meteo 2024 hourly shape NOAA ISD weather adjustment OpenAQ historical PM25 anomaly pattern and optional GEE CAMS zonal context;CHAP anchor max abs error 0.0 ugm3;mean PM25 16.433 ugm3;not TAP data and not observed holdout,tap_like_pm25_scene_not_observed_holdout,semi_synthetic,air_pollution_exposure;tap_like_scaffold;synthetic_holdout_scaffold;simulator_stress;state_dynamics_validation;uwm_air;planner_targeting,exploratory_only
synthetic_air_quality_placeholder,Synthetic air quality placeholder for UWM smoke tests,synthetic,generated_by_future_uwm_fixture,planned,Chongqing central urban area,2024,grid,EPSG:4490,internal_only,seeded generator planned,smoke_only,synthetic,uwm_air;simulator_smoke,exploratory_only
chongqing_unicom_commuting_2023_local,Chongqing China Unicom work-home commuting mobile signaling table,restricted_local,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/snapshot_manifest.json;source_csv=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/11中国联通手机信令数据/现状职住通勤数据_202305.csv,available,Chongqing grid IDs without geometry dictionary,2023-05,od_grid_table,grid_id_unknown,restricted_sample,local planning zip re-audit 2026-07-05;2120 rows;259 unique home grids;697 unique work grids;expanded population sum 29634.79665;693 rows use work grid 0 whose meaning is unverified;normalized proxy and OD CSV generated,usable_real_grid_geometry_missing,real,mobility_activity;commuting_od;population_vulnerability;simulator_context;planner_targeting;mmfe_alignment,fragile
baidu_search_index_2023_local,Chengdu-Chongqing ring Baidu search-index city-pair flows 2023,restricted_local,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/snapshot_manifest.json;source_gdb=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/12成渝环渝百度搜索指数/成渝环渝百度搜索指数.gdb,available,Chengdu-Chongqing and surrounding intercity flows,2023,multilinestring_city_pair_flow,EPSG:4490,restricted_sample,local planning zip re-audit 2026-07-05;FileGDB layer 成渝环渝百度搜索指数_2023 has 325 MultiLineString flows;26 origin cities;26 destination cities;total search index 8694518;top flow Chongqing to Chengdu 235299;normalized proxy and flow CSV generated,real_search_interest_not_trip_or_policy_outcome,real,mobility_activity;urban_activity_proxy;simulator_context;planner_targeting;mmfe_alignment,fragile
chongqing_historic_districts_local,Chongqing central historic-cultural district polygons,restricted_local,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/uwm_local_planning_zip_inventory.csv;source_shp=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/05重庆市中心城区历史文化街区数据/中心城区历史文化街区数据.shp,available,Chongqing central urban historic-cultural districts,source_vintage_unverified,polygon_z,EPSG:4490,restricted_sample,local planning zip re-audit 2026-07-05 with pyogrio;20 Polygon Z features;fields include Jqmc Fwlx Xzqmc Fwmj Bhbkydwwsl Bhlsjzsl;bounds 106.379879145 29.558008447 106.595327123 29.877271985,usable_real_cultural_heritage_context,real,urban_form;cultural_heritage;service_accessibility;livability_context;renderer;planner_targeting,fragile
bishan_land_use_dltb_local,Bishan district current land-use DLTB polygons from planning sample,planning_sample,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/uwm_local_planning_zip_inventory.csv;source_gdb=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/区县/现状用地数据/GDB.gdb,available,Bishan district sample,source_vintage_unverified,multipolygon,EPSG:4610,source_terms_pending,local planning zip re-audit 2026-07-05 with pyogrio;FileGDB layer DLTB has 101657 MultiPolygon features;fields BSM YSDM DLBM DLMC QSDWDM QSDWMC ZLDWDM ZLDWMC TBMJ;one-district planning context not citywide livability outcome,usable_one_district_land_use_context_not_chongqing_wide,real,land_use_context;urban_form;planning_constraints;simulator_context;baseline,fragile
bishan_admin_cadastral_boundary_local,Bishan administrative and cadastral boundary FileGDB layers,planning_sample,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/uwm_local_planning_zip_inventory.csv;source_gdb=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/区县/其他资料/境界与政区.gdb/境界与政区.gdb,available,Bishan district sample,source_vintage_unverified,multipolygon_layers,EPSG:4523_compound_CGCS2000_YellowSea1985,source_terms_pending,local planning zip re-audit 2026-07-05 with pyogrio;CJDCQ layer has 1488 MultiPolygon features and XZQ layer has 15 MultiPolygon features;outer wrapper GDB directory itself is not a datasource but nested GDB is readable,usable_local_boundary_context_not_modern_citywide,real,administrative_units;land_use_context;planning_constraints;baseline,fragile
bishan_land_development_ledger_2019_local,Bishan 2019 land-development permit acquisition and supply ledgers,planning_sample,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/uwm_local_planning_zip_inventory.csv;source_dir=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/区县/用地态势数据/附件,available,Bishan district tabular planning ledgers,2019,workbook_collection,tabular,source_terms_pending,local planning zip re-audit 2026-07-05 after installing xlrd;建设用地规划许可证台账 313 worksheet rows;征地台账 239 and 119 worksheet rows;建设用地出让划拨台账 767 worksheet rows;1438 nonempty worksheet rows including headers and title rows,tabular_planning_context_not_spatial_outcome,real,land_development_pressure;planning_context;planner_constraints;simulator_context,fragile
fulu_village_planning_database_local,Fulu town Heping and Banzhu village planning database layers and tables,planning_sample,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/uwm_local_planning_zip_inventory.csv;source_dir=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/07规划编制相关数据/村规划,available,Bishan Fulu town Heping and Banzhu villages,planning_outputs_source_vintage_mixed,mixed_vector_collection_and_workbooks,mixed_CGCS2000_GK_zone_35_EPSG4523,source_terms_pending,local planning zip re-audit 2026-07-05;village planning vector collection has 31 shapefiles and 8050 total features across planning boundary land-use current/planned line/polygon and control layers;related planning workbooks and PDFs also present,usable_village_planning_context_not_citywide,real,planning_constraints;land_use_context;village_livability_context;simulator_context,fragile
clcd_classification_dictionary_local,CLCD classification dictionary from planning sample,planning_sample,data/uwm_public_proxy/chongqing_central/local_planning_zip_audit_2026_07_05/uwm_local_planning_zip_inventory.csv;source_xlsx=.tmp/twm_standard_1128/自然资源一张图数据库标准1128/规划院提供数据样例及Demo系统功能演示建议/01数据样例/03重庆市遥感影像解译数据2020年/CLCD_Classification System_学研录.xlsx,available,Chongqing CLCD 2020 class dictionary,2020,classification_table,not_spatial,source_terms_pending,local planning zip re-audit 2026-07-05;classification workbook has 9 land-cover classes Cropland Forest Shrub Grassland Water Snow/Ice Barren Impervious Wetland with RGB colors;supports CLCD raster interpretation,usable_metadata_for_clcd_state,real,remote_sensing_state;renderer;baseline_context,fragile
uwm_fitted_admin_population_downscaling_2021,UWM fitted admin population downscaling from district totals and GHSL weights,synthetic,data/uwm_public_proxy/chongqing_central/fitted_gap_filling_2026_07_05/population_downscaling_proxy.json;local_snapshot=data/uwm_public_proxy/chongqing_central/fitted_gap_filling_2026_07_05/snapshot_manifest.json,available,Chongqing township and street admin units plus explicit district fallback rows,2021_population_total_with_2020_GHSL_weight_proxy,admin_tabular_panel,EPSG:4326,local_planning_sample_terms_pending_plus_GHSL_CC_BY_4_0,generated on 2026-07-05 from real local district resident population totals and GHSL admin zonal weights;852 fitted rows;32900800 population input equals output;845 GHSL-weighted admin rows and 7 explicit district fallback rows;not census microdata,fitted_total_preserving_population_proxy_not_census,fitted_proxy,population_vulnerability;equity_evaluation;simulator_context;planner_targeting;mmfe_alignment,exploratory_only
uwm_unicom_latent_mobility_graph_2023,UWM fitted latent mobility graph from Unicom work-home OD,synthetic,data/uwm_public_proxy/chongqing_central/fitted_gap_filling_2026_07_05/unicom_latent_mobility_graph.json;local_snapshot=data/uwm_public_proxy/chongqing_central/fitted_gap_filling_2026_07_05/snapshot_manifest.json,available,Chongqing Unicom grid IDs without geometry dictionary,2023-05,directed_weighted_graph_without_geometry,grid_id_unknown,restricted_sample_terms_pending,generated on 2026-07-05 by aggregating real local Unicom OD rows into 1067 directed edges and 756 nodes;total expanded population 29634.796667;work_grid 0 weight 12933.005191;grid geometry dictionary missing,latent_mobility_graph_no_geometry_not_travel_time,fitted_proxy,mobility_activity;commuting_od;simulator_context;planner_targeting;mmfe_alignment,exploratory_only
tap_pm25_observed_gridded_chongqing_2018_2024,TAP observed gridded PM2.5 for Chongqing 2018 and 2024 windows,public,data/uwm_public_proxy/chongqing_central/tap_pm25_observed_gridded_2026_07_06/snapshot_manifest.json;source_root=/Users/zhouning/Downloads/tap_uwm,available,Chongqing municipality and surrounding TAP tile bbox,2018-10-17_to_2018-10-23;2024-07-01_to_2024-07-07;2024-07_species_month,gridded_csv_zip_summary;temporal_benchmark_json,EPSG:4326,TAP_noncommercial_terms_no_redistribution,local TAP package parsed on 2026-07-06;1km PM25 grid tiles join cleanly to lonlat tiles by GridID;10km PM25 species package parsed;temporal benchmark generated with strict no-policy-outcome claim boundary,tap_gridded_fusion_product_not_station_or_policy_outcome,public_proxy,air_pollution_exposure;uwm_air;state_dynamics_validation;mmfe_alignment;evidence_gate,bounded_support
tap_pm25_external_spatiotemporal_dynamics_chongqing_2018_2024,TAP external spatiotemporal PM2.5 dynamics holdout for UWM,public,data/uwm_public_proxy/chongqing_central/tap_pm25_external_dynamics_2026_07_06/snapshot_manifest.json;source_root=/Users/zhouning/Downloads/tap_uwm,available,Chongqing municipality and surrounding TAP tile bbox,2018-10-17_to_2018-10-23;2024-07-01_to_2024-07-07,external_dynamics_report_json,EPSG:4326,TAP_noncommercial_terms_no_redistribution,local TAP package externally benchmarked on 2026-07-06;10000 grid series and 40000 holdout points;spatial ridge MAE 16.653886 vs adaptive online dynamic MAE 7.011689 and static train mean MAE 9.309192;neighbor shuffle control worse but non-spatial feature ablation not worse;future leakage guard passed;no spatial dynamics advantage claim supported,external_dynamics_no_claim_supported,public_proxy,air_pollution_exposure;uwm_air;state_dynamics_validation;evidence_gate;world_model_transition_gate,not_for_claim
